,SPY,QQQ
Ticker,SPY,QQQ
Date,,
2017-09-01,247.83999633789062,146.0
2017-09-05,246.05999755859375,144.69000244140625
2017-09-06,246.89999389648438,145.1300048828125
2017-09-07,246.8699951171875,145.47000122070312
2017-09-08,246.5800018310547,144.2100067138672
2017-09-11,249.2100067138672,145.8699951171875
2017-09-12,250.0500030517578,146.22000122070312
2017-09-13,250.1699981689453,146.4199981689453
2017-09-14,250.08999633789062,145.55999755859375
2017-09-15,249.19000244140625,146.05999755859375
2017-09-18,249.72000122070312,145.5500030517578
2017-09-19,249.97000122070312,145.8000030517578
2017-09-20,250.05999755859375,145.35000610351562
2017-09-21,249.38999938964844,144.4600067138672
2017-09-22,249.44000244140625,144.32000732421875
2017-09-25,248.92999267578125,142.8000030517578
2017-09-26,249.0800018310547,143.1699981689453
2017-09-27,250.0500030517578,144.4600067138672
2017-09-28,250.35000610351562,144.41000366210938
2017-09-29,251.22999572753906,145.4499969482422
2017-10-02,252.32000732421875,145.5800018310547
2017-10-03,252.86000061035156,145.88999938964844
2017-10-04,253.16000366210938,146.02999877929688
2017-10-05,254.66000366210938,147.4600067138672
2017-10-06,254.3699951171875,147.66000366210938
2017-10-09,253.9499969482422,147.49000549316406
2017-10-10,254.6199951171875,147.60000610351562
2017-10-11,255.02000427246094,148.0399932861328
2017-10-12,254.63999938964844,147.77000427246094
2017-10-13,254.9499969482422,148.33999633789062
2017-10-16,255.2899932861328,148.85000610351562
2017-10-17,255.47000122070312,149.0399932861328
2017-10-18,255.72000122070312,148.86000061035156
2017-10-19,255.7899932861328,148.30999755859375
2017-10-20,257.1099853515625,148.7100067138672
2017-10-23,256.1099853515625,147.74000549316406
2017-10-24,256.55999755859375,147.99000549316406
2017-10-25,255.2899932861328,147.42999267578125
2017-10-26,255.6199951171875,146.9600067138672
2017-10-27,257.7099914550781,151.24000549316406
2017-10-30,256.75,151.5800018310547
2017-10-31,257.1499938964844,152.14999389648438
2017-11-01,257.489990234375,152.10000610351562
2017-11-02,257.5899963378906,151.80999755859375
2017-11-03,258.45001220703125,153.27000427246094
2017-11-06,258.8500061035156,153.7899932861328
2017-11-07,258.6700134277344,153.8800048828125
2017-11-08,259.1099853515625,154.5
2017-11-09,258.1700134277344,153.69000244140625
2017-11-10,258.0899963378906,153.67999267578125
2017-11-13,258.3299865722656,153.8699951171875
2017-11-14,257.7300109863281,153.30999755859375
2017-11-15,256.44000244140625,152.58999633789062
2017-11-16,258.6199951171875,154.5399932861328
2017-11-17,257.8599853515625,153.9499969482422
2017-11-20,258.29998779296875,153.8300018310547
2017-11-21,259.989990234375,155.5
2017-11-22,259.760009765625,155.69000244140625
2017-11-24,260.3599853515625,156.25999450683594
2017-11-27,260.2300109863281,156.19000244140625
2017-11-28,262.8699951171875,156.58999633789062
2017-11-29,262.7099914550781,153.86000061035156
2017-11-30,265.010009765625,155.14999389648438
2017-12-01,264.4599914550781,154.49000549316406
2017-12-04,264.1400146484375,152.7100067138672
2017-12-05,263.19000244140625,152.80999755859375
2017-12-06,263.239990234375,153.5
2017-12-07,264.07000732421875,154.02000427246094
2017-12-08,265.510009765625,154.6999969482422
2017-12-11,266.30999755859375,155.89999389648438
2017-12-12,266.7799987792969,155.69000244140625
2017-12-13,266.75,155.99000549316406
2017-12-14,265.6600036621094,155.8800048828125
2017-12-15,266.510009765625,157.64999389648438
2017-12-18,268.20001220703125,158.63999938964844
2017-12-19,267.1700134277344,157.6999969482422
2017-12-20,267.0299987792969,157.52999877929688
2017-12-21,267.5799865722656,157.5500030517578
2017-12-22,267.510009765625,157.3699951171875
2017-12-26,267.19000244140625,156.52000427246094
2017-12-27,267.32000732421875,156.5399932861328
2017-12-28,267.8699951171875,156.72999572753906
2017-12-29,266.8599853515625,155.75999450683594
2018-01-02,268.7699890136719,158.49000549316406
2018-01-03,270.4700012207031,160.02999877929688
2018-01-04,271.6099853515625,160.30999755859375
2018-01-05,273.4200134277344,161.9199981689453
2018-01-08,273.9200134277344,162.5500030517578
2018-01-09,274.5400085449219,162.55999755859375
2018-01-10,274.1199951171875,162.17999267578125
2018-01-11,276.1199951171875,163.2899932861328
2018-01-12,277.9200134277344,164.49000549316406
2018-01-16,276.9700012207031,164.02000427246094
2018-01-17,279.6099853515625,165.7899932861328
2018-01-18,279.1400146484375,165.82000732421875
2018-01-19,280.4100036621094,166.33999633789062
2018-01-22,282.69000244140625,168.1199951171875
2018-01-23,283.2900085449219,169.50999450683594
2018-01-24,283.17999267578125,168.41000366210938
2018-01-25,283.29998779296875,168.35000610351562
2018-01-26,286.5799865722656,170.92999267578125
2018-01-29,284.67999267578125,170.10000610351562
2018-01-30,281.760009765625,168.6999969482422
2018-01-31,281.8999938964844,169.39999389648438
2018-02-01,281.5799865722656,167.9600067138672
2018-02-02,275.45001220703125,164.61000061035156
2018-02-05,263.92999267578125,158.1199951171875
2018-02-06,269.1300048828125,162.30999755859375
2018-02-07,267.6700134277344,160.2100067138672
2018-02-08,257.6300048828125,153.4499969482422
2018-02-09,261.5,156.10000610351562
2018-02-12,265.3399963378906,158.8699951171875
2018-02-13,266.0,159.69000244140625
2018-02-14,269.5899963378906,162.67999267578125
2018-02-15,273.0299987792969,165.6999969482422
2018-02-16,273.1099853515625,164.9600067138672
2018-02-20,271.3999938964844,165.2899932861328
2018-02-21,270.04998779296875,164.82000732421875
2018-02-22,270.3999938964844,164.8000030517578
2018-02-23,274.7099914550781,168.1699981689453
2018-02-26,277.8999938964844,170.39999389648438
2018-02-27,274.42999267578125,168.2899932861328
2018-02-28,271.6499938964844,167.2100067138672
2018-03-01,267.70001220703125,164.47999572753906
2018-03-02,269.0799865722656,165.99000549316406
2018-03-05,272.19000244140625,167.8300018310547
2018-03-06,272.8800048828125,168.5399932861328
2018-03-07,272.7799987792969,168.92999267578125
2018-03-08,274.1000061035156,169.86000061035156
2018-03-09,278.8699951171875,173.16000366210938
2018-03-12,278.5199890136719,174.0800018310547
2018-03-13,276.7200012207031,171.7100067138672
2018-03-14,275.29998779296875,171.67999267578125
2018-03-15,275.0,171.52999877929688
2018-03-16,274.20001220703125,171.02000427246094
2018-03-19,270.489990234375,167.10000610351562
2018-03-20,270.95001220703125,167.64999389648438
2018-03-21,270.42999267578125,166.9199981689453
2018-03-22,263.6700134277344,162.8000030517578
2018-03-23,258.04998779296875,158.50999450683594
2018-03-26,265.1099853515625,164.39999389648438
2018-03-27,260.6000061035156,159.0800018310547
2018-03-28,259.8299865722656,157.25
2018-03-29,263.1499938964844,160.1300048828125
2018-04-02,257.4700012207031,155.50999450683594
2018-04-03,260.7699890136719,157.25999450683594
2018-04-04,263.55999755859375,159.74000549316406
2018-04-05,265.6400146484375,160.64999389648438
2018-04-06,259.7200012207031,156.6300048828125
2018-04-09,261.0,157.72999572753906
2018-04-10,265.1499938964844,161.2100067138672
2018-04-11,263.760009765625,160.27999877929688
2018-04-12,265.92999267578125,162.2100067138672
2018-04-13,265.1499938964844,161.3699951171875
2018-04-16,267.3299865722656,162.60000610351562
2018-04-17,270.19000244140625,166.10000610351562
2018-04-18,270.3900146484375,166.44000244140625
2018-04-19,268.8900146484375,164.91000366210938
2018-04-20,266.6099853515625,162.3000030517578
2018-04-23,266.57000732421875,161.88999938964844
2018-04-24,262.9800109863281,158.4600067138672
2018-04-25,263.6300048828125,158.64999389648438
2018-04-26,266.30999755859375,161.99000549316406
2018-04-27,266.55999755859375,162.08999633789062
2018-04-30,264.510009765625,160.94000244140625
2018-05-01,264.9800109863281,162.77999877929688
2018-05-02,263.20001220703125,161.82000732421875
2018-05-03,262.6199951171875,161.8000030517578
2018-05-04,266.0199890136719,164.8699951171875
2018-05-07,266.9200134277344,166.24000549316406
2018-05-08,266.9200134277344,166.07000732421875
2018-05-09,269.5,167.8800048828125
2018-05-10,272.0199890136719,169.6199951171875
2018-05-11,272.8500061035156,169.4600067138672
2018-05-14,272.9800109863281,169.75
2018-05-15,271.1000061035156,167.8699951171875
2018-05-16,272.239990234375,168.97999572753906
2018-05-17,272.010009765625,168.3300018310547
2018-05-18,271.3299865722656,167.4600067138672
2018-05-21,273.3699951171875,168.39999389648438
2018-05-22,272.6099853515625,168.17999267578125
2018-05-23,273.3599853515625,169.60000610351562
2018-05-24,272.79998779296875,169.5500030517578
2018-05-25,272.1499938964844,169.72000122070312
2018-05-29,269.0199890136719,168.97000122070312
2018-05-30,272.6099853515625,170.17999267578125
2018-05-31,270.94000244140625,170.07000732421875
2018-06-01,273.6000061035156,172.74000549316406
2018-06-04,274.8999938964844,174.3000030517578
2018-06-05,275.1000061035156,174.83999633789062
2018-06-06,277.3999938964844,175.86000061035156
2018-06-07,277.3699951171875,174.42999267578125
2018-06-08,278.19000244140625,174.44000244140625
2018-06-11,278.55999755859375,174.91000366210938
2018-06-12,278.9200134277344,175.8300018310547
2018-06-13,278.0299987792969,175.82000732421875
2018-06-14,278.7300109863281,177.60000610351562
2018-06-15,277.1300048828125,176.97999572753906
2018-06-18,276.55999755859375,176.5
2018-06-19,275.5,176.0
2018-06-20,275.9700012207031,177.25
2018-06-21,274.239990234375,175.7100067138672
2018-06-22,274.739990234375,175.32000732421875
2018-06-25,271.0,171.3699951171875
2018-06-26,271.6000061035156,172.07000732421875
2018-06-27,269.3500061035156,169.72999572753906
2018-06-28,270.8900146484375,171.19000244140625
2018-06-29,271.2799987792969,171.64999389648438
2018-07-02,271.8599853515625,172.8000030517578
2018-07-03,270.8999938964844,170.8000030517578
2018-07-05,273.1099853515625,172.9199981689453
2018-07-06,275.4200134277344,175.61000061035156
2018-07-09,277.8999938964844,177.19000244140625
2018-07-10,278.8999938964844,177.32000732421875
2018-07-11,276.8599853515625,176.4199981689453
2018-07-12,279.3699951171875,179.4600067138672
2018-07-13,279.5899963378906,179.61000061035156
2018-07-16,279.3399963378906,179.17999267578125
2018-07-17,280.4700012207031,180.27000427246094
2018-07-18,281.05999755859375,179.92999267578125
2018-07-19,280.0,179.02999877929688
2018-07-20,279.67999267578125,178.99000549316406
2018-07-23,280.20001220703125,179.55999755859375
2018-07-24,281.6099853515625,180.3000030517578
2018-07-25,284.010009765625,182.82000732421875
2018-07-26,283.3399963378906,180.0500030517578
2018-07-27,281.4200134277344,177.6199951171875
2018-07-30,279.95001220703125,175.11000061035156
2018-07-31,281.3299865722656,176.4499969482422
2018-08-01,280.8599853515625,177.1199951171875
2018-08-02,282.3900146484375,179.52999877929688
2018-08-03,283.6000061035156,180.0800018310547
2018-08-06,284.6400146484375,181.13999938964844
2018-08-07,285.5799865722656,181.8000030517578
2018-08-08,285.4599914550781,182.02000427246094
2018-08-09,285.07000732421875,181.91000366210938
2018-08-10,283.1600036621094,180.52000427246094
2018-08-13,282.1000061035156,180.32000732421875
2018-08-14,283.8999938964844,181.4499969482422
2018-08-15,281.7799987792969,179.22999572753906
2018-08-16,284.05999755859375,179.82000732421875
2018-08-17,285.05999755859375,179.86000061035156
2018-08-20,285.6700134277344,179.6999969482422
2018-08-21,286.3399963378906,180.36000061035156
2018-08-22,286.1700134277344,181.05999755859375
2018-08-23,285.7900085449219,180.8000030517578
2018-08-24,287.510009765625,182.47999572753906
2018-08-27,289.7799987792969,184.33999633789062
2018-08-28,289.9200134277344,184.61000061035156
2018-08-29,291.4800109863281,186.74000549316406
2018-08-30,290.29998779296875,186.41000366210938
2018-08-31,290.30999755859375,186.64999389648438
2018-09-04,289.80999755859375,185.85000610351562
2018-09-05,289.0299987792969,183.4499969482422
2018-09-06,288.1600036621094,181.80999755859375
2018-09-07,287.6000061035156,181.11000061035156
2018-09-10,288.1000061035156,181.72000122070312
2018-09-11,289.04998779296875,183.1199951171875
2018-09-12,289.1199951171875,182.5800018310547
2018-09-13,290.8299865722656,184.52999877929688
2018-09-14,290.8800048828125,183.99000549316406
2018-09-17,289.3399963378906,181.33999633789062
2018-09-18,290.9100036621094,182.83999633789062
2018-09-19,291.2200012207031,182.6999969482422
2018-09-20,293.5799865722656,184.72000122070312
2018-09-21,291.989990234375,183.7100067138672
2018-09-24,291.0199890136719,183.88999938964844
2018-09-25,290.75,184.13999938964844
2018-09-26,289.8800048828125,184.27000427246094
2018-09-27,290.69000244140625,185.8300018310547
2018-09-28,290.7200012207031,185.7899932861328
2018-10-01,291.7300109863281,186.1699981689453
2018-10-02,291.55999755859375,185.75
2018-10-03,291.7200012207031,185.9499969482422
2018-10-04,289.44000244140625,182.3800048828125
2018-10-05,287.82000732421875,180.14999389648438
2018-10-08,287.82000732421875,179.0500030517578
2018-10-09,287.3999938964844,179.6300048828125
2018-10-10,278.29998779296875,171.72999572753906
2018-10-11,272.1700134277344,169.60000610351562
2018-10-12,275.95001220703125,174.32000732421875
2018-10-15,274.3999938964844,172.2100067138672
2018-10-16,280.3999938964844,177.22000122070312
2018-10-17,280.45001220703125,177.2899932861328
2018-10-18,276.3999938964844,173.17999267578125
2018-10-19,276.25,173.02000427246094
2018-10-22,275.010009765625,173.91000366210938
2018-10-23,273.6099853515625,173.27000427246094
2018-10-24,265.32000732421875,165.33999633789062
2018-10-25,270.0799865722656,171.05999755859375
2018-10-26,265.3299865722656,166.66000366210938
2018-10-29,263.8599853515625,163.22999572753906
2018-10-30,267.7699890136719,165.9199981689453
2018-10-31,270.6300048828125,169.82000732421875
2018-11-01,273.510009765625,172.05999755859375
2018-11-02,271.8900146484375,169.3800048828125
2018-11-05,273.3900146484375,168.9600067138672
2018-11-06,275.1199951171875,170.24000549316406
2018-11-07,281.010009765625,175.5800018310547
2018-11-08,280.5,174.4600067138672
2018-11-09,277.760009765625,171.52000427246094
2018-11-12,272.57000732421875,166.3300018310547
2018-11-13,272.05999755859375,166.47000122070312
2018-11-14,270.20001220703125,165.1999969482422
2018-11-15,273.0199890136719,168.08999633789062
2018-11-16,273.7300109863281,167.5
2018-11-19,269.1000061035156,162.05999755859375
2018-11-20,264.1199951171875,159.16000366210938
2018-11-21,265.0199890136719,160.3699951171875
2018-11-23,263.25,159.2100067138672
2018-11-26,267.5,162.88999938964844
2018-11-27,268.3999938964844,163.44000244140625
2018-11-28,274.5799865722656,168.6999969482422
2018-11-29,273.9800109863281,168.14999389648438
2018-11-30,275.6499938964844,169.3699951171875
2018-12-03,279.29998779296875,172.3300018310547
2018-12-04,270.25,165.72000122070312
2018-12-06,269.8399963378906,166.88999938964844
2018-12-07,263.57000732421875,161.3800048828125
2018-12-10,264.07000732421875,163.07000732421875
2018-12-11,264.1300048828125,163.61000061035156
2018-12-12,265.4599914550781,165.0500030517578
2018-12-13,265.3699951171875,165.10000610351562
2018-12-14,260.4700012207031,161.0800018310547
2018-12-17,255.36000061035156,157.42999267578125
2018-12-18,255.0800018310547,158.4199981689453
2018-12-19,251.25999450683594,154.52999877929688
2018-12-20,247.1699981689453,152.2899932861328
2018-12-21,240.6999969482422,147.57000732421875
2018-12-24,234.33999633789062,143.5
2018-12-26,246.17999267578125,152.4600067138672
2018-12-27,248.07000732421875,153.0500030517578
2018-12-28,247.75,152.97000122070312
2018-12-31,249.9199981689453,154.25999450683594
2019-01-02,250.17999267578125,154.8800048828125
2019-01-03,244.2100067138672,149.82000732421875
2019-01-04,252.38999938964844,156.22999572753906
2019-01-07,254.3800048828125,158.08999633789062
2019-01-08,256.7699890136719,159.52000427246094
